name;value_euro;wage_dollars;height_cm;weight_kgs;age;nationality;overall_rating;positions;preferred_foot;club_team;variable_error
L. Messi;110500000.0;565000.0;170.18;72.1;31 años;;94.0;CF,RW,ST;Left;FC Barcelona;9999
C. Eriksen;69500000.0;205000.0;154.94;76.2;27;Denmark;88.0;CAM,RM,CM;Right;Tottenham Hotspur;9999
P. Pogba;73000000.0;255000.0;190.5;83.9;25;France;88.0;CM,CAM;Right;Manchester United;9999
P. Pogba;73000000.0;255000.0;190.5;83.9;25;France;88.0;CM,CAM;Right;Manchester United;9999
P. Pogba;73000000.0;255000.0;190.5;83.9;25;France;88.0;CM,CAM;Right;Manchester United;9999
L. Insigne;62000000.0;165000.0;162.56;59.0;27;Italy;88.0;LW,ST;Right;Napoli;9999
K. Koulibaly;60000000.0;135000.0;187.96;88.9;27;Senegal;88.0;CB;Right;Napoli;9999
V. van Dijk;59500000.0;215000.0;193.04;92.1;27;Netherlands;88.0;CB;Right;Liverpool;9999
K. Mbappé;81000000.0;100000.0;152.4;73.0;20;France;88.0;RW,ST,RM;Right;Paris Saint-Germain;9999
K. Mbappé;;;;;;;;;;;9999
S. Agüero;64500000.0;300000.0;172.72;69.9;30;Argentina;89.0;ST;Right;Manchester City;9999
M. Neuer;38000000.0;130000.0;193.04;92.1;32;Germany;89.0;GK;Right;FC Bayern München;9999
E. Cavani;60000000.0;200000.0;185.42;77.1;32;;89.0;ST;Right;Paris Saint-Germain;9999
Sergio Busquets;51500000.0;315000.0;187.96;76.2;30;Spain;89.0;CDM,CM;Right;FC Barcelona;9999
T. Courtois;53500000.0;240000.0;198.12;96.2;26;Belgium;89.0;GK;Left;Real Madrid;9999
M. ter Stegen;58000000.0;240000.0;187.96;84.8;26;Germany;89.0;GK;Right;FC Barcelona;9999
A. Griezmann;78000000.0;145000.0;175.26;73.0;27;France;89.0;CF,ST;Left;Atlético Madrid;9999
M. Salah;78500000.0;265000.0;175.26;71.2;26;Egypt;89.0;RW,ST;Left;Liverpool;9999
P. Dybala;89000000.0;205000.0;152.4;74.8;25;Argentina;89.0;CAM,RW;Left;Juventus;9999
M. Škriniar;53500000.0;89000.0;187.96;79.8;24;Slovakia;86.0;CB;Right;Inter;9999
Fernandinho;20500000.0;200000.0;152.4;67.1;33;Brazil;87.0;CDM;Right;Manchester City;9999
G. Higuaín;48500000.0;205000.0;185.42;88.9;31;Argentina;87.0;ST;Right;Chelsea;9999
I. Rakitić;46500000.0;260000.0;182.88;78.0;30;Croatia;87.0;CM,CDM;Right;FC Barcelona;9999
J. Vertonghen;34000000.0;155000.0;187.96;86.2;31;Belgium;87.0;CB;Left;Tottenham Hotspur;9999
D. Mertens;45000000.0;135000.0;170.18;60.8;31;Belgium;87.0;CF,ST;Right;Napoli;9999
Marcelo;36500000.0;240000.0;175.26;79.8;30;Brazil;87.0;LB;Left;Real Madrid;9999
