name;value_euro;wage_euro;height_cm;weight_kgs;age;nationality;overall_rating;positions;preferred_foot;club_team
L. Messi;110500000.0;565000.0;170.18;72.1;31;Argentina;94;CF,RW,ST;Left;FC Barcelona
C. Eriksen;69500000.0;205000.0;154.94;76.2;27;Denmark;88;CAM,RM,CM;Right;Tottenham Hotspur
P. Pogba;73000000.0;255000.0;190.5;83.9;25;France;88;CM,CAM;Right;Manchester United
L. Insigne;62000000.0;165000.0;162.56;59.0;27;Italy;88;LW,ST;Right;Napoli
K. Koulibaly;60000000.0;135000.0;187.96;88.9;27;Senegal;88;CB;Right;Napoli
V. van Dijk;59500000.0;215000.0;193.04;92.1;27;Netherlands;88;CB;Right;Liverpool
K. Mbappé;81000000.0;100000.0;152.4;73.0;20;France;88;RW,ST,RM;Right;Paris Saint-Germain
S. Agüero;64500000.0;300000.0;172.72;69.9;30;Argentina;89;ST;Right;Manchester City
M. Neuer;38000000.0;130000.0;193.04;92.1;32;Germany;89;GK;Right;FC Bayern München
E. Cavani;60000000.0;200000.0;185.42;77.1;32;Uruguay;89;ST;Right;Paris Saint-Germain
Sergio Busquets;51500000.0;315000.0;187.96;76.2;30;Spain;89;CDM,CM;Right;FC Barcelona
T. Courtois;53500000.0;240000.0;198.12;96.2;26;Belgium;89;GK;Left;Real Madrid
M. ter Stegen;58000000.0;240000.0;187.96;84.8;26;Germany;89;GK;Right;FC Barcelona
A. Griezmann;78000000.0;145000.0;175.26;73.0;27;France;89;CF,ST;Left;Atlético Madrid
M. Salah;78500000.0;265000.0;175.26;71.2;26;Egypt;89;RW,ST;Left;Liverpool
P. Dybala;89000000.0;205000.0;152.4;74.8;25;Argentina;89;CAM,RW;Left;Juventus
M. Škriniar;53500000.0;89000.0;187.96;79.8;24;Slovakia;86;CB;Right;Inter
Fernandinho;20500000.0;200000.0;152.4;67.1;33;Brazil;87;CDM;Right;Manchester City
G. Higuaín;48500000.0;205000.0;185.42;88.9;31;Argentina;87;ST;Right;Chelsea
I. Rakitić;46500000.0;260000.0;182.88;78.0;30;Croatia;87;CM,CDM;Right;FC Barcelona
J. Vertonghen;34000000.0;155000.0;187.96;86.2;31;Belgium;87;CB;Left;Tottenham Hotspur
D. Mertens;45000000.0;135000.0;170.18;60.8;31;Belgium;87;CF,ST;Right;Napoli
Marcelo;36500000.0;240000.0;175.26;79.8;30;Brazil;87;LB;Left;Real Madrid
T. Alderweireld;44000000.0;165000.0;185.42;81.2;30;Belgium;87;CB;Right;Tottenham Hotspur
Jordi Alba;38000000.0;250000.0;170.18;68.0;29;Spain;87;LB;Left;FC Barcelona
Thiago;51500000.0;140000.0;175.26;69.9;27;Spain;87;CM,CAM,CDM;Right;FC Bayern München
C. Immobile;52000000.0;115000.0;185.42;84.8;29;Italy;87;ST;Right;Lazio
K. Navas;30500000.0;195000.0;185.42;79.8;32;Costa Rica;87;GK;Right;Real Madrid
Isco;62500000.0;260000.0;175.26;78.9;26;Spain;87;CAM,CM,LW;Right;Real Madrid
J. Rodríguez;59000000.0;260000.0;154.94;74.8;27;Colombia;87;CAM,CM,RM;Left;FC Bayern München
Casemiro;50500000.0;240000.0;185.42;83.9;27;Brazil;87;CDM;Right;Real Madrid
M. Icardi;64500000.0;130000.0;154.94;74.8;26;Argentina;87;ST;Right;Inter
Kepa;31000000.0;92000.0;185.42;84.8;24;Spain;84;GK;Right;Chelsea
H. Ziyech;38000000.0;31000.0;154.94;64.9;25;Morocco;84;CAM,RW;Left;Ajax
Fabinho;34000000.0;120000.0;187.96;78.0;25;Brazil;84;CDM;Right;Liverpool
A. Martial;42500000.0;165000.0;182.88;76.2;23;France;84;LW,ST,LM;Right;Manchester United
T. Werner;40000000.0;77000.0;154.94;74.8;23;Germany;84;ST;Right;RB Leipzig
N. Süle;36500000.0;84000.0;195.58;97.1;23;Germany;84;CB;Right;FC Bayern München
Bruno Fernandes;40500000.0;22000.0;152.4;68.9;24;Portugal;84;CAM,CM;Right;Portugal
Alex Telles;31000000.0;22000.0;154.94;71.2;26;Brazil;84;LB;Left;FC Porto
J. Giménez;34000000.0;63000.0;185.42;79.8;24;Uruguay;84;CB;Right;Atlético Madrid
N. Fekir;40500000.0;84000.0;172.72;74.8;25;France;84;CAM;Left;Olympique Lyonnais
D. Sánchez;34000000.0;105000.0;187.96;78.9;22;Colombia;84;CB;Right;Tottenham Hotspur
Marco Asensio;41500000.0;195000.0;182.88;76.2;23;Spain;84;LW,RW;Left;Real Madrid
O. Dembélé;46000000.0;170000.0;152.4;67.1;21;France;84;RW,LW;Left;FC Barcelona
Iniesta;18500000.0;19000.0;170.18;68.0;34;Spain;85;CM,LM;Right;Vissel Kobe
Z. Ibrahimović;14000000.0;15000.0;195.58;94.8;37;Sweden;85;ST;Right;LA Galaxy
Jorginho;30000000.0;140000.0;154.94;67.1;27;Italy;83;CM;Right;Chelsea
E. Višća;26000000.0;44000.0;172.72;63.0;29;Bosnia Herzegovina;83;RM,RW;Right;Medipol Başakşehir FK
S. Gnabry;34000000.0;85000.0;175.26;74.8;23;Germany;83;LM,RM,CAM,LW;Right;FC Bayern München
M. Kovačić;35000000.0;165000.0;175.26;78.0;24;Croatia;83;CM;Right;Chelsea
William Carvalho;27000000.0;35000.0;187.96;83.0;26;Portugal;83;CDM,CM;Right;Real Betis
Felipe;22500000.0;22000.0;190.5;86.2;29;Brazil;83;CB;Right;FC Porto
Y. Carrasco;33000000.0;20000.0;154.94;73.0;25;Belgium;83;LM;Right;Belgium
Lucas Vázquez;27000000.0;205000.0;172.72;69.9;27;Spain;83;RW,RM;Right;Real Madrid
Q. Promes;28000000.0;28000.0;175.26;72.1;27;Netherlands;83;LM,ST,RM;Right;Sevilla FC
L. Goretzka;34000000.0;85000.0;187.96;78.9;24;Germany;83;CM,CAM,CDM;Right;FC Bayern München
A. Rabiot;33000000.0;91000.0;193.04;79.8;23;France;83;CM,CDM;Left;Paris Saint-Germain
A. Romagnoli;31000000.0;92000.0;187.96;78.0;24;Italy;83;CB;Left;Milan
João Cancelo;29500000.0;105000.0;182.88;73.9;24;Portugal;83;RB;Right;Juventus
Anderson Talisca;34000000.0;27000.0;190.5;79.8;25;Brazil;83;CAM;Left;Guangzhou Evergrande Taobao FC
K. Coman;34500000.0;85000.0;152.4;71.2;22;France;83;LM,RM,LW,RW;Right;FC Bayern München
T. Lemar;35500000.0;64000.0;170.18;62.1;23;France;83;LM,CAM,RM;Left;Atlético Madrid
J. Tah;25000000.0;61000.0;195.58;97.1;23;Germany;82;CB;Right;Bayer 04 Leverkusen
M. Politano;28000000.0;61000.0;170.18;67.1;25;Italy;82;RM,LM,ST;Left;Inter
C. Lenglet;26000000.0;135000.0;185.42;81.2;23;France;82;CB;Left;FC Barcelona
Pau López;21500000.0;21000.0;187.96;77.1;24;Spain;82;GK;Left;Real Betis
H. Lozano;29500000.0;24000.0;175.26;69.9;23;Mexico;82;RW,LW;Right;PSV
Malcom;31500000.0;140000.0;172.72;73.9;22;Brazil;82;RW;Left;FC Barcelona
L. Torreira;25000000.0;98000.0;167.64;64.0;23;Uruguay;82;CDM,CM;Right;Arsenal
Gonçalo Guedes;29000000.0;36000.0;152.4;68.0;22;Portugal;82;LM,ST,RM,LW;Right;Valencia CF
G. Lo Celso;30000000.0;83000.0;175.26;69.9;22;Argentina;82;CM,CAM,CDM;Left;Real Betis
Fabián;32000000.0;70000.0;187.96;69.9;22;Spain;82;CM,CDM,CAM;Left;Napoli
F. de Jong;31000000.0;20000.0;154.94;69.9;21;Netherlands;82;CM,CDM,CB;Right;Ajax
Raphaelito Anjos;14000000.0;32000.0;190.5;84.8;31;Brazil;82;GK;Right;Grêmio
Juiano Mestres;6500000.0;39000.0;154.94;82.1;35;Brazil;82;CB,CDM;Right;Cruzeiro
Rosberto Dourado;16500000.0;46000.0;175.26;69.9;31;Brazil;82;CDM,CM;Right;Atlético Mineiro
Arthur;32500000.0;125000.0;170.18;73.0;22;Brazil;82;CM;Right;FC Barcelona
Rodri;29000000.0;59000.0;190.5;82.1;22;Spain;82;CM,CDM;Right;Atlético Madrid
M. Parolo;9000000.0;59000.0;182.88;74.8;34;Italy;82;CDM,CM;Right;Lazio
M. Kruse;21500000.0;45000.0;154.94;76.2;30;Germany;82;CF,ST,CAM;Left;SV Werder Bremen
J. Henderson;18000000.0;125000.0;182.88;79.8;28;England;82;CDM,CM;Right;Liverpool
N. Gaitán;21000000.0;22000.0;172.72;66.2;31;Argentina;82;CAM;Left;Dalian YiFang FC
M. Arnautović;22000000.0;120000.0;193.04;83.0;29;Austria;82;ST;Right;West Ham United
S. Giovinco;20000000.0;61000.0;162.56;60.8;32;Italy;82;CF,ST;Right;Italy
G. Sigurðsson;22500000.0;125000.0;185.42;77.1;29;Iceland;82;CAM;Right;Everton
Giuliano;22500000.0;59000.0;172.72;68.0;28;Brazil;82;CAM,RW;Right;Al Nassr
P. Gulácsi;18000000.0;53000.0;193.04;86.2;28;Hungary;82;GK;Right;RB Leipzig
Luiz Gustavo;16500000.0;57000.0;187.96;78.0;31;Brazil;82;CDM,CB;Left;Olympique de Marseille
K. Trippier;18500000.0;99000.0;152.4;72.1;28;England;82;RB,RWB;Right;Tottenham Hotspur
A. Ramsey;23000000.0;130000.0;182.88;76.2;28;Wales;82;CM,CDM,CAM;Right;Arsenal
M. Balotelli;23500000.0;68000.0;187.96;88.0;28;Italy;82;ST;Right;Olympique de Marseille
Marlos;21000000.0;1000.0;175.26;68.9;30;Ukraine;82;RM;Left;Shakhtar Donetsk
Taison;21000000.0;1000.0;172.72;64.0;31;Brazil;82;LM,CAM;Right;Shakhtar Donetsk
G. Bonaventura;22000000.0;115000.0;154.94;74.8;29;Italy;82;CM,LW;Right;Milan
G. Kondogbia;22000000.0;43000.0;187.96;79.8;26;Central African Rep.;81;CM,CDM;Left;Valencia CF
